city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Barcelos,PT,2020-09-27 21:30:26,41.54,-8.62,61.0,87,0,4.7
155,Cidreira,BR,2020-09-27 21:30:26,-30.18,-50.21,65.98,92,96,15.19
156,Atambua,ID,2020-09-27 21:30:26,-9.11,124.89,71.78,80,8,4.65
157,San Jose,US,2020-09-27 21:27:23,37.34,-121.89,91.99,21,40,10.29
158,Ambatondrazaka,MG,2020-09-27 21:30:26,-17.83,48.42,60.42,90,71,1.61
159,Doka,SD,2020-09-27 21:30:27,13.52,35.77,74.16,84,44,6.64
160,Samarai,PG,2020-09-27 21:29:58,-10.62,150.67,79.7,85,84,15.23
161,Victor Harbor,AU,2020-09-27 21:30:27,-35.57,138.62,48.0,91,56,11.43
162,Tambopata,PE,2020-09-27 21:30:28,-12.73,-69.18,83.88,58,89,0.65
163,Sao Joao Da Barra,BR,2020-09-27 21:30:28,-21.64,-41.05,78.8,74,80,16.11
164,Marsa Matruh,EG,2020-09-27 21:30:28,31.35,27.25,78.8,88,0,6.93
165,Ouro Preto Do Oeste,BR,2020-09-27 21:30:28,-10.75,-62.22,87.53,46,92,4.41
166,Awjilah,LY,2020-09-27 21:30:29,29.11,21.29,87.6,28,0,7.34
167,Labuhan,ID,2020-09-27 21:30:29,-6.88,112.21,77.97,77,99,13.42
168,Lata,PT,2020-09-27 21:30:29,40.16,-8.33,64.0,87,0,5.82
169,Saint-Philippe,RE,2020-09-27 21:30:29,-21.36,55.77,66.2,68,99,4.7
170,Laguna,US,2020-09-27 21:29:16,38.42,-121.42,93.0,19,1,8.05
171,Maniitsoq,GL,2020-09-27 21:30:30,65.42,-52.9,35.92,82,12,9.78
172,Port-Gentil,GA,2020-09-27 21:30:30,-0.72,8.78,77.0,78,40,10.29
173,Navirai,BR,2020-09-27 21:30:30,-23.07,-54.19,80.58,61,35,4.03
174,Mandera,KE,2020-09-27 21:30:30,3.94,41.87,80.91,58,42,19.77
175,Raposa,BR,2020-09-27 21:26:23,-6.52,-44.18,89.58,26,24,3.94
176,Chicama,PE,2020-09-27 21:30:31,-7.84,-79.15,67.82,66,23,8.66
177,Derbent,RU,2020-09-27 21:27:30,42.07,48.29,66.0,49,100,6.38
178,Kutum,SD,2020-09-27 21:30:31,14.2,24.67,78.19,51,100,14.2
179,Avarua,CK,2020-09-27 21:27:45,-21.21,-159.78,75.2,69,45,13.87
180,Xiamen,CN,2020-09-27 21:30:32,24.48,118.08,73.4,83,90,2.24
181,Victoria Point,AU,2020-09-27 21:30:32,-27.58,153.3,62.01,58,4,10.0
182,Chuy,UY,2020-09-27 21:28:57,-33.7,-53.46,66.58,91,83,12.77
183,Pathein,MM,2020-09-27 21:30:32,16.78,94.73,77.22,92,97,2.06
184,Northam,GB,2020-09-27 21:30:32,51.03,-4.22,54.0,80,58,1.99
185,San Vicente,AR,2020-09-27 21:30:32,-26.62,-54.13,74.34,70,48,2.06
186,Tasiilaq,GL,2020-09-27 21:28:48,65.61,-37.64,35.6,93,99,2.24
187,Hobyo,SO,2020-09-27 21:30:33,5.35,48.53,75.97,91,95,13.69
188,Hambantota,LK,2020-09-27 21:30:33,6.12,81.12,77.0,100,40,6.93
189,Itarema,BR,2020-09-27 21:30:33,-2.92,-39.92,77.83,77,15,15.9
190,Manokwari,ID,2020-09-27 21:30:34,-0.87,134.08,79.39,74,41,3.71
191,Novyy Urengoy,RU,2020-09-27 21:28:34,66.08,76.63,38.61,75,69,19.46
192,Georgetown,MY,2020-09-27 21:30:34,5.41,100.34,78.8,88,20,3.36
193,Achinsk,RU,2020-09-27 21:30:34,56.27,90.5,37.83,89,51,4.36
194,Beringovskiy,RU,2020-09-27 21:28:34,63.05,179.32,34.83,83,0,8.34
195,Uvat,RU,2020-09-27 21:30:35,59.14,68.9,48.04,96,49,4.68
196,Pandamatenga,BW,2020-09-27 21:30:35,-18.53,25.63,72.1,20,13,4.38
197,Clyde River,CA,2020-09-27 21:30:35,70.47,-68.59,28.4,86,90,4.16
198,Along,IN,2020-09-27 21:30:35,28.17,94.77,71.46,90,100,1.16
199,Chesma,RU,2020-09-27 21:30:35,53.81,60.65,47.39,81,14,5.95
200,Richards Bay,ZA,2020-09-27 21:30:36,-28.78,32.04,60.91,91,100,12.88
201,Touros,BR,2020-09-27 21:30:18,-5.2,-35.46,78.8,78,20,10.29
202,Tateyama,JP,2020-09-27 21:30:36,34.98,139.87,68.0,82,29,5.82
203,Bonga,ET,2020-09-27 21:30:36,7.28,36.23,58.53,89,67,1.79
204,Victoria,HK,2020-09-27 21:29:21,22.29,114.16,81.0,85,100,19.1
205,San-Pedro,CI,2020-09-27 21:30:36,4.75,-6.64,75.79,91,40,6.13
206,Ilulissat,GL,2020-09-27 21:27:48,69.22,-51.1,32.0,96,9,6.93
207,Fort Atkinson,US,2020-09-27 21:30:37,42.93,-88.84,57.99,30,100,1.99
208,Parnaiba,BR,2020-09-27 21:30:37,-2.9,-41.78,78.31,77,8,12.28
209,Caravelas,BR,2020-09-27 21:30:37,-17.71,-39.25,73.42,79,0,8.25
210,Hit,IQ,2020-09-27 21:30:37,33.64,42.83,81.9,31,0,14.34
211,Lichinga,MZ,2020-09-27 21:30:38,-13.31,35.24,67.73,58,21,7.85
212,Igrim,RU,2020-09-27 21:30:38,63.19,64.42,48.58,83,100,8.01
213,Tuatapere,NZ,2020-09-27 21:30:38,-46.13,167.68,36.0,92,100,11.01
214,Sarh,TD,2020-09-27 21:30:38,9.14,18.39,73.45,90,80,0.83
215,Sao Filipe,CV,2020-09-27 21:30:38,14.9,-24.5,80.33,82,17,8.03
216,Alangayam,IN,2020-09-27 21:30:38,12.6,78.75,70.77,88,92,2.8
217,Ormara,PK,2020-09-27 21:30:39,25.21,64.64,82.17,78,0,9.64
218,Vostok,RU,2020-09-27 21:28:19,46.49,135.88,38.35,89,0,4.43
219,Ancud,CL,2020-09-27 21:30:39,-41.87,-73.82,53.01,86,100,1.01
220,Cherskiy,RU,2020-09-27 21:30:39,68.75,161.3,38.75,72,100,18.81
221,Sovetskiy,RU,2020-09-27 21:30:39,61.36,63.58,51.06,89,91,5.46
222,Iqaluit,CA,2020-09-27 21:30:40,63.75,-68.51,32.0,94,20,8.05
223,Alofi,NU,2020-09-27 21:30:40,-19.06,-169.92,77.0,78,40,20.8
224,Magelang,ID,2020-09-27 21:27:51,-7.47,110.22,70.95,89,93,4.81
225,Rock Springs,US,2020-09-27 21:30:40,41.59,-109.2,55.4,22,75,21.92
226,Ribeira Grande,PT,2020-09-27 21:30:41,38.52,-28.7,69.8,88,40,4.7
227,Southampton,GB,2020-09-27 21:30:41,50.9,-1.4,50.0,49,2,1.01
228,Thanh Hoa,VN,2020-09-27 21:30:05,19.8,105.77,77.34,93,100,5.08
229,Tautira,PF,2020-09-27 21:30:41,-17.73,-149.15,82.4,69,75,12.75
230,Wyndham,US,2020-09-27 21:27:34,37.7,-77.61,75.0,78,90,3.13
231,Port Hardy,CA,2020-09-27 21:29:00,50.7,-127.42,55.4,82,90,20.8
232,Dikson,RU,2020-09-27 21:28:09,73.51,80.55,37.06,78,100,26.22
233,Bhuj,IN,2020-09-27 21:30:42,23.27,69.67,78.66,78,0,8.88
234,Long,TH,2020-09-27 21:26:05,18.08,99.83,75.13,92,100,1.52
235,Husavik,IS,2020-09-27 21:30:42,66.04,-17.34,42.8,100,75,1.12
236,Bilibino,RU,2020-09-27 21:30:42,68.05,166.44,32.38,88,100,2.48
237,Quatre Cocos,MU,2020-09-27 21:30:43,-20.21,57.76,73.0,94,40,9.17
238,Krasnaya Gora,RU,2020-09-27 21:30:43,53.0,31.6,55.4,93,90,15.66
239,Bambous Virieux,MU,2020-09-27 21:27:48,-20.34,57.76,73.0,94,40,9.17
240,Manaure,CO,2020-09-27 21:30:43,11.78,-72.44,91.4,63,75,13.87
