City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
496,Yulara,AU,89.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
499,Reconquista,AR,76.68,scattered clouds,-29.15,-59.65,Grand Hotel
502,Alta Floresta,BR,81.28,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
512,Cartagena,CO,82.4,scattered clouds,10.4,-75.51,Costa Del Sol
513,Conde,BR,75.2,broken clouds,-7.26,-34.91,Pousada Beija Flor
518,Kuching,MY,89.6,scattered clouds,1.55,110.33,Hilton Kuching
519,Dharchula,IN,77.4,clear sky,29.85,80.53,Mahara Hotel
522,Gondanglegi,ID,95.27,clear sky,-7.75,112.01,Gg. Munasir Homestay
534,Funadhoo,MV,81.7,broken clouds,6.15,73.27,Dhaffalhu Tourist Lodge
536,Parana,AR,75.99,scattered clouds,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
538,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
539,Tura,IN,86.65,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
540,Arlit,NE,88.97,clear sky,18.74,7.39,Hôtel Telwa Bungalow
542,Ratnagiri,IN,81.16,scattered clouds,16.98,73.3,Hotel Landmark
543,Mahina,PF,84.2,few clouds,-17.51,-149.49,Guest Beach Bungalow Tahiti
545,Cockburn Town,TC,84.15,overcast clouds,21.46,-71.14,Osprey Beach Hotel
549,Turbat,PK,88.9,clear sky,26.0,63.04,Mubashar Quarters
555,Qandala,SO,84.15,clear sky,11.47,49.87,
559,Sardulgarh,IN,90.46,clear sky,29.7,75.25,Shri Balaji Pg
565,Aswan,EG,81.68,clear sky,24.09,32.91,Nuba Nile
567,Praia,CV,77.0,few clouds,14.92,-23.51,LT Aparthotel
568,Kirakira,SB,82.2,light rain,-10.45,161.92,SanBiz Lodge
569,Murud,IN,82.04,broken clouds,18.33,72.97,On Point Plaza
572,Yanam,IN,78.8,moderate rain,16.73,82.22,The Regency Hotel
581,Diu,IN,82.08,clear sky,20.71,70.98,Hotel Relax Inn
583,Tabou,CI,76.69,light rain,4.42,-7.35,hotêl doufoulougou
586,Belmonte,BR,75.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
591,Tuy Hoa,VN,89.89,scattered clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
592,Kununurra,AU,91.4,broken clouds,-15.77,128.73,Hotel Kununurra
593,Ormara,PK,82.76,clear sky,25.21,64.64,
595,Bundaberg,AU,78.01,few clouds,-24.85,152.35,Takalvan Motel
598,Hirado,JP,78.8,scattered clouds,33.36,129.55,Samson Hotel
600,Bilma,NE,82.58,clear sky,18.69,12.92,Expeditions Ténére voyages
606,Lumphat,KH,88.86,scattered clouds,13.49,106.98,Lumphat Homestay
609,Malkapur,IN,81.16,scattered clouds,20.88,76.2,Hotel Sarthi International
612,Coolum Beach,AU,78.01,clear sky,-26.53,153.1,Palmer Coolum Resort
614,Acapulco,MX,79.47,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
615,Samarai,PG,78.87,light rain,-10.62,150.67,Nuli Sapi
621,Port-Gentil,GA,77.25,overcast clouds,-0.72,8.78,Fengshui Residence
626,Dahegam,IN,84.2,mist,23.17,72.82,Malhaar Resort
627,Along,IN,87.48,scattered clouds,28.17,94.77,Hotel West
630,Sibolga,ID,84.33,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
631,Papetoai,PF,84.2,few clouds,-17.5,-149.87,InterContinental Resort And Spa Moorea
633,Laguna,US,84.0,smoke,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
