city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
157,Tasiilaq,GL,65.61,-37.64,35.6,51,49,5.82,scattered clouds
158,Nazare,BR,-13.04,-39.01,70.23,95,70,2.53,broken clouds
159,Henties Bay,NA,-22.12,14.28,54.0,87,99,1.99,overcast clouds
160,Khatanga,RU,71.97,102.5,29.75,98,100,10.22,overcast clouds
161,Dembi Dolo,ET,8.53,34.8,56.91,100,99,3.71,overcast clouds
162,Lagoa,PT,39.05,-27.98,69.06,80,53,10.33,broken clouds
163,Sistranda,NO,63.73,8.83,55.4,76,40,17.22,scattered clouds
164,Kainantu,PG,-6.29,145.87,67.41,88,100,4.63,overcast clouds
165,Ola,RU,59.58,151.28,51.44,60,0,2.21,clear sky
166,San Pedro,PH,14.35,121.02,91.0,70,75,4.7,light rain
167,Penzance,GB,50.12,-5.54,50.0,81,10,12.75,clear sky
168,Westport,US,41.14,-73.36,66.2,59,1,17.22,clear sky
169,Santa Rosalia,MX,27.32,-112.28,84.92,45,0,4.65,clear sky
170,Shimoda,JP,34.67,138.95,68.0,82,75,10.29,broken clouds
171,San Andres,CO,12.58,-81.7,78.8,94,75,2.24,broken clouds
172,Vaini,TO,-21.2,-175.2,77.0,88,75,13.87,light intensity shower rain
173,Tautira,PF,-17.73,-149.15,84.2,62,20,8.05,few clouds
174,Montepuez,MZ,-13.13,39.0,66.15,91,21,3.38,few clouds
175,Ambilobe,MG,-13.2,49.05,75.02,78,29,5.32,scattered clouds
176,Port Shepstone,ZA,-30.74,30.45,63.97,72,0,24.65,clear sky
177,Whyalla,AU,-33.03,137.58,75.2,47,0,13.87,clear sky
178,Waipawa,NZ,-41.41,175.52,59.0,58,13,12.75,few clouds
179,Touros,BR,-5.2,-35.46,73.4,88,75,3.36,broken clouds
180,Cayenne,GF,4.93,-52.33,78.8,94,75,10.54,broken clouds
181,Sitka,US,57.05,-135.33,55.4,87,90,10.29,overcast clouds
